school,original_publication_date,sentence_lowered,period
plato,-350,"we must have met handsome and noble youths, together with their courageous lovers.",ancient
plato,-350,"we must look for this science without concern for its actual benefit or its prestige, but see whether it is by its nature a capacity in our soul to love the truth and to do everything for its sake.",ancient
plato,-350,"our love for every kind of knowledge has made us let them all in together, before any of the pleasures.",ancient
plato,-350,"for pleasure is the greatest impostor of all, by general account, and in connection with the pleasures of love, which seem to be the greatest of all, even perjury is pardoned by the gods.",ancient
plato,-350,"now, many people accept their testimony, as the seers do that of the birds, and judge that pleasures are most effective in securing the happy life; they even believe that the animal passions are more authoritative witnesses than is the love of argument that is constantly revealed under the guidance of the philosophic muse.",ancient
plato,-350,"to gratify phaedrus (the passionate admirer of speeches and rhetoric in the dialogue named after him), who indignantly regrets the neglect by greek poets and writers of the god of love, the company agree to give speeches in turn, while they all drink, in praise of love. '",ancient
plato,-350,"love' (greek ero?s) covers sexual attraction and gratification between men and women and between men and teenage boys, but the focus here is also and especially on the adult male's role as ethical and intellectual educator of the adolescent that was traditional among the athenians in the latter sort of relationship, whether accompanied by sex or not.",ancient
plato,-350,"in his youth alcibiades had been one of socrates' admiring followers, and he now reports in gripping detail the fascinating reversal socrates worked upon him in the erotic roles of the older and the younger man usual among the greeks in a relationship of 'love':",ancient
plato,-350,": as he enters callias' house, socrates spots four of the speakers phaedrus and eryximachus in a crowd round hippias, and agathon and pausanias (his lover) hanging on the words of prodicus; alcibiades joins the company shortly afterwards.",ancient
plato,-350,socrates' own speech is given over to reporting a discourse on love,ancient
plato,-350,"in any event, diotima herself is made to say that socrates can probably not follow her in the 'final and highest mystery' of the 'rites of love' her account of the ascent in love, beginning with love for individual young men, ending with love for the form of beauty, which 'always is and neither comes to be nor passes away, neither waxes nor wanes', and is 'not beautiful this way and ugly that way, nor beautiful at one time and ugly at another, nor beautiful in relation to one thing and ugly in relation to another' but is 'just what it is to be beautiful'.",ancient
plato,-350,"readers will want to compare diotima's speech on love with those of socrates in phaedrus, and also with socrates' discussion on friendship with the boys in the lysis.",ancient
plato,-350,"'you know there once was a gathering at agathon's when socrates, alcibiades, and their friends had dinner together; i wanted to ask you about the speeches they made on love.",ancient
plato,-350,"our poets have composed hymns in honor of just about any god you can think of; but has a single one of them given one moment's thought to the god of love, ancient and powerful as he is?",ancient
plato,-350,"how could people pay attention to such trifles and never, not even once, write a proper hymn to love?",ancient
plato,-350,"if you agree, we can spend the whole evening in discussion, because i propose that each of us give as good a speech in praise of love as he is capable of giving, in proper order from left to right.",ancient
plato,-350,"how could i vote 'no,' when the only thing i say i understand is the art of love?",ancient
plato,-350,"so let phaedrus begin, with the blessing of fortune; let's hear his praise of love.'",ancient
plato,-350,"love is a great god, wonderful in many ways to gods and men, and",ancient
plato,-350,"we honor him as one of the most ancient gods, and the proof of his great age is this: the parents of love have no place in poetry or legend.",ancient
plato,-350,"but then came earth, broad chested, a seat for all, forever safe, and love.",ancient
plato,-350,"and acusilaus agrees with hesiod: after chaos came earth and love, these two.",ancient
plato,-350,and parmenides tells of this beginning: the very first god she designed was love.,ancient
plato,-350,"all sides agree, then, that love is one of the most ancient gods.",ancient
plato,-350,"i cannot say what greater good there is for a young boy than a gentle lover, or for a lover than a boy to love.",ancient
plato,-350,nothing imparts this guidance as well as love.,ancient
plato,-350,"what i say is this: if a man in love is found doing something shameful, or accepting shameful treatment because he is a coward and makes no defense, then nothing would give him more pain than being seen by the boy he loves not even being seen by his father or his comrades.",ancient
plato,-350,"the same thing also in the boy he loves, that he is especially ashamed before his lover when he is caught in something shameful.",ancient
plato,-350,if only there were a way to start a city or an army made up of lovers and the boys they love!,ancient
plato,-350,"for a man in love would never allow his loved one, of all people, to see him leaving ranks or dropping weapons.",ancient
plato,-350,"and as for leaving the boy behind, or not coming to his aid in danger why, no one is so base that true love could not inspire him with courage, and make him as brave as if he'd been born a hero.",ancient
plato,-350,"when homer says a god 'breathes might' into some of the heroes, this is really love's gift to every lover.",ancient
plato,-350,"besides, no one will die for you but a lover, and a lover will do this even if she's a woman.",ancient
plato,-350,"because of her love, she went so far beyond his parents in family feeling that she made them look like outsiders, as if they belonged to their son in name only.",ancient
plato,-350,"as you can see, the eager courage of love wins highest honors from the gods.",ancient
plato,-350,"they did not give him the woman herself, because they thought he was soft (he was, after all, a cithara player) and did not dare to die like alcestis for love's sake, but contrived to enter living into hades.",ancient
plato,-350,"they sent him to the isles of the blest because he dared to stand by his lover patroclus and avenge him, even after he had learned from his mother that he would die if he killed hector, but that if he chose otherwise he'd go home and end his life as an old man.",ancient
plato,-350,"the gods were highly delighted at this, of course, and gave him special honor, because he made so much of his lover.",ancient
plato,-350,"achilles was the lover; he was more beautiful than patroclus, more beautiful than all the heroes, and still beardless.",ancient
plato,-350,"in truth, the gods honor virtue most highly when it belongs to love.",ancient
plato,-350,"they are more impressed and delighted, however, and are more generous with a loved one who cherishes his lover, than with a lover who cherishes the boy he loves.",ancient
plato,-350,"a lover is more godlike than his boy, you see, since he is inspired by a god.",ancient
plato,-350,"therefore i say love is the most ancient of the gods, the most honored, and the most powerful in helping men gain virtue and blessedness, whether they are alive or have passed away.",ancient
plato,-350,our charge has been simple to speak in praise of love.,ancient
plato,-350,"this would have been fine if love himself were simple, too, but as a matter of fact, there are two kinds of love.",ancient
plato,-350,"in view of this, it might be better to begin by making clear which kind of love we are to praise.",ancient
plato,-350,let me therefore try to put our discussion back on the right track and explain which kind of love ought to be praised.,ancient
plato,-350,it is a well known fact that love and aphrodite are inseparable.,ancient
plato,-350,"if, therefore, aphrodite were a single goddess, there could also be a single love; but, since there are actually two goddesses of that name, there also are two kinds of love.",ancient
plato,-350,"it follows, therefore, that there is a common as well as a heavenly love, depending on which goddess is love's partner.",ancient
plato,-350,and my point is that exactly this principle applies to being in love:,ancient
plato,-350,love is not in himself noble and worthy of.,ancient
plato,-350,now the common aphrodite's love is himself truly common.,ancient
plato,-350,"this, of course, is the love felt by the vulgar, who are attached to women no less than to boys, to the body more than to the soul, and to the least intelligent partners, since all they care about is completing the sexual act.",ancient
plato,-350,"for the love who moves them belongs to a much younger goddess, who, through her parentage, partakes of the nature both of the female and the male.",ancient
plato,-350,contrast this with the love of heavenly aphrodite.,ancient
plato,-350,"this goddess, whose descent is purely male (hence this love is for boys), is considerably older and therefore free from the lewdness of youth.",ancient
plato,-350,that's why those who are inspired by her love are attracted to the male: they find pleasure in what is by nature stronger and more intelligent.,ancient
plato,-350,"but, even within the group that is attracted to handsome boys, some are not moved purely by this heavenly love; those who are do not fall in love with little boys; they prefer older ones whose cheeks are showing the first traces of a beard a sign that they have begun to form minds of their own.",ancient
plato,-350,"i am convinced that a man who falls in love with a young man of this age is generally prepared to share everything with the one he loves he is eager, in fact, to spend the rest of his own life with him.",ancient
plato,-350,"good men, of course, are willing to make a law like this for themselves, but those other lovers, the vulgar ones, need external restraint.",ancient
plato,-350,these vulgar lovers are the people who have given love such a bad reputation that some have gone so far as to claim that taking any man as a lover is in itself disgraceful.,ancient
plato,-350,"would anyone make this claim if he weren't thinking of how hasty vulgar lovers are, and therefore how unfair to their loved ones?",ancient
plato,-350,"i should point out, however, that, although the customs regarding love in most cities are simple and easy to understand, here in athens (and in sparta as well) they are remarkably complex.",ancient
plato,-350,"in places where the people are inarticulate, like elis or boeotia, tradition straightforwardly approves taking a lover in every case.",ancient
plato,-350,"by contrast, in places like ionia and almost every other part of the persian empire, taking a lover is always considered disgraceful.",ancient
plato,-350,the persian empire is absolute; that is why it condemns love as well as philosophy and sport.,ancient
plato,-350,"that these are precisely the effects of philosophy, sport, and especially of love is a lesson the tyrants of athens learned directly from their own experience: didn't their reign come to a dismal end because of the bonds uniting harmodius and aristogiton in love and affection?",ancient
plato,-350,"so you can see that plain condemnation of love reveals lust for power in the rulers and cowardice in the ruled, while indiscriminate approval testifies to general dullness and stupidity.",ancient
plato,-350,"recall, for example, that we consider it more honorable to declare your love rather than to keep it a secret, especially if you are in love with a youth of good family and accomplishment, even if he isn't all that beautiful.",ancient
plato,-350,recall also that a lover is encouraged in every possible way,ancient
plato,-350,"and as for attempts at conquest, our custom is to praise lovers for totally extraordinary acts so extraordinary, in fact, that if they performed them for any other purpose whatever, they would reap the most profound contempt suppose, for example, that in order to secure money, or a public post, or any other practical benefit from another person, a man were willing to do what lovers do for the ones they love.",ancient
plato,-350,"but let a lover act in any of these ways, and everyone will immediately say what a charming man he is!",ancient
plato,-350,"and what is even more remarkable is that, at least according to popular wisdom, the gods will forgive a lover even for breaking his vows a lover's vow",ancient
plato,-350,the freedom given to the lover by both gods and men according to our custom is immense.,ancient
plato,-350,"in view of all this, you might well conclude that in our city we consider the lover's desire and the willingness to satisfy it as the noblest things in.",ancient
plato,-350,"although their attempt failed, the tyranny fell three years later, and the lovers were celebrated as tyrannicides.",ancient
plato,-350,"as i said earlier, love is, like everything else, complex: considered simply in itself, it is neither honorable nor a disgrace",ancient
plato,-350,"i'll tell you: it is the common, vulgar lover, who loves the body rather than the soul,",ancient
plato,-350,"the man whose love is bound to be inconstant, since what he loves is itself mutable and unstable.",ancient
plato,-350,"how different from this is a man who loves the right sort of character, and who remains its lover for life, attached as he is to something that is permanent.",ancient
plato,-350,"we can now see the point of our customs: they are designed to separate the wheat from the chaff, the proper love from the vile.",ancient
plato,-350,"that's why we do everything we can to make it as easy as possible for lovers to press their suits and as difficult as possible for young men to comply; it is like a competition, a kind of test to determine to which sort each belongs.",ancient
plato,-350,"our customs, then, provide for only one honorable way of taking a man as a lover.",ancient
plato,-350,"in addition to recognizing that the lover's total and willing subjugation to his beloved's wishes is neither servile nor reprehensible, we allow that there is one and only one further reason for willingly subjecting oneself to another which is equally above reproach: that is subjection for the sake of virtue.",ancient
plato,-350,"both these principles that is, both the principle governing the proper attitude toward the lover.",ancient
plato,-350,of young men and the principle governing the love of wisdom and of virtue in general must be combined if a young man is to accept a lover in an honorable way.,ancient
plato,-350,"when an older lover and a young man come together and each obeys the principle appropriate to him when the lover realizes that he is justified in doing anything for a loved one who grants him favors, and when the young man understands that he is justified in performing any service for a lover who can make him wise and virtuous and when the lover is able to help the young man become wiser and better, and the young man is eager to be taught and improved by his lover then, and only then, when these two principles coincide absolutely, is it ever honorable for a young man to accept a lover.",ancient
plato,-350,"suppose, for example, that someone thinks his lover is rich and accepts him for his money; his action won't be any less shameful if it turns out that he was deceived and his lover was a poor man after all.",ancient
plato,-350,"by the same token, suppose that someone takes a lover in the mistaken belief that this lover is a good man and likely to make him better himself, while in reality the man is horrible, totally lacking in virtue; even so, it is noble for him to have been deceived.",ancient
plato,-350,"it follows, therefore, that giving in to your lover for virtue's sake is honorable, whatever the outcome.",ancient
plato,-350,"and this, of course, is the heavenly love of the heavenly goddess.",ancient
plato,-350,"love's value to the city as a whole and to the citizens is immeasurable, for he compels the lover and his loved one alike to make virtue their central concern.",ancient
plato,-350,all other forms of love belong to the vulgar goddess.,ancient
plato,-350,"phaedrus, i'm afraid this hasty improvisation will have to do as my contribution on the subject of love.",ancient
plato,-350,his distinction between the two species of love seems to me very useful indeed.,ancient
plato,-350,"but if i have learned a single lesson from my own field, the science of medicine, it is that love does not occur only in the human soul; it is not simply the attraction we feel toward human beauty: it is a significantly broader phenomenon.",ancient
plato,-350,"love is a deity of the greatest importance: he directs everything that occurs, not only in the humandomain, but also in that of the gods.",ancient
plato,-350,the point is that our very bodies manifest the two species of love.,ancient
plato,-350,"consider for a moment the marked difference, the radical dissimilarity, between healthy and diseased constitutions and the fact that dissimilar subjects desire and love objects that are themselves dissimilar.",ancient
plato,-350,"therefore, the love manifested in health is fundamentally distinct from the love manifested in disease.",ancient
plato,-350,"in short, medicine is simply the science of the effects of love on repletion and depletion of the body, and the hallmark of the accomplished physician is his ability to distinguish the love that is noble from the love that is ugly and disgraceful.",ancient
plato,-350,a good practitioner knows how to affect the body and how to transform its desires; he can implant the proper species of love when it is absent and eliminate the other sort whenever it occurs.,ancient
plato,-350,the physician's task is to effect a reconciliation and establish mutual love between the most basic bodily elements.,ancient
plato,-350,"in fact, our ancestor asclepius first established medicine as a profession when he learned how to produce concord and love between such opposites that is what those poet fellows say, and this time i concur with them.",ancient
plato,-350,"medicine, therefore, is guided everywhere by the god of love, and so are physical education and farming as well.",ancient
plato,-350,"music, like medicine, creates agreement by producing concord and love between these various opposites.",ancient
plato,-350,music is therefore simply the science of the effects of love on rhythm and harmony.,ancient
plato,-350,these effects are easily discernible if you consider the constitution of rhythm and harmony in themselves; love does not occur in both his forms in thisdomain.,ancient
plato,-350,"ultimately, the identical argument applies once again: the love felt by good people or by those whom such love might improve in this regard must be encouraged and protected.",ancient
plato,-350,"this is the honorable, heavenly species of love, produced by the melodies of urania, the heavenly muse.",ancient
plato,-350,"in music, therefore, as well as in medicine and in all the otherdomains, in matters divine as well as in human affairs, we must attend with the greatest possible care to these two species of love, which are, indeed, to be found everywhere.",ancient
plato,-350,"when the elements to which i have already referred hot and cold, wet and dry are animated by the proper species of love, they are in harmony with one another: their mixture is temperate, and so is the climate.",ancient
plato,-350,"but when the sort of love that is crude and impulsive controls the seasons, he brings death and destruction.",ancient
plato,-350,"all these are the effects of the immodest and disordered species of love on the movements of the stars and the seasons of the year, that is, on the objects studied by the science called astronomy.",ancient
plato,-350,"here, too, love is the central concern: our object is to try to maintain the proper kind of love and to attempt to cure the kind that is diseased.",ancient
plato,-350,"our refusal to gratify the orderly kind of love, and our deference to the other sort, when we should have been guided by the former sort of love in every action in connection with our parents, living or dead, and with the gods.",ancient
plato,-350,the task of divination is to keep watch over these two species of love and to doctor them as necessary.,ancient
plato,-350,"divination, therefore, is the practice that produces loving affection between gods and men; it is simply the science of the effects of love on justice and piety.",ancient
plato,-350,such is the power of love so varied and great that in all cases it might be called absolute.,ancient
plato,-350,"yet even so it is far greater when love is directed, in temperance and justice, toward the good, whether in heaven or on earth: happiness and good fortune, the bonds of human society, concord with the gods above all these are among his gifts.",ancient
plato,-350,"perhaps i, too, have omitted a great deal in this discourse on love.",ancient
plato,-350,"makes me wonder whether the 'orderly sort of love' in the body calls for the sounds and itchings that constitute a sneeze, because the hiccups stopped immediately when i applied the sneeze treatment.'",ancient
plato,-350,"you see, i think people have entirely missed the power of love, because, if they had grasped it, they'd have built the greatest temples and altars to him and made the greatest sacrifices.",ancient
plato,-350,"for he loves the human race more than any other god, he stands by us in our troubles, and he cures those ills",ancient
plato,-350,"this, then, is the source of our desire to love each other.",ancient
plato,-350,love is born into every human being; it calls back the halves of our original nature together; it tries to make one out of two and heal the wound of human nature.,ancient
plato,-350,"while they are boys, because they are chips off the male block, they love men and enjoy lying with men and being embraced by men; those are the best of boys and lads, because they are the most manly in their nature.",ancient
plato,-350,"when they're grown men, they are lovers of young men, and they naturally pay no attention to marriage or to making babies, except insofar as they are required by local custom.",ancient
plato,-350,"in every way, then, this sort of man grows up as a lover of young men and a lover of love, always rejoicing in his own kind.",ancient
plato,-350,": the two are struck from their senses by love, by a sense of belonging to one another, and by desire, and they don't want to be separated from one another, not even for a moment.",ancient
plato,-350,no one would think it is the intimacy of sex that mere sex is the reason each lover takes so great and deep a joy in being with the other.,ancient
plato,-350,"it's obvious that the soul of every lover longs for something else; his soul cannot say what it is, but like an oracle it has a sense of what it wants, and like an oracle it hides behind a riddle.",ancient
plato,-350,"suppose two lovers are lying together and hephaest stands over them with his mending tools, asking, 'what is it you human beings really want from each other?'",ancient
plato,-350,"look at your love, and see if this is what you desire",ancient
plato,-350,"instead, everyone would think he'd found out at last what he had always wanted: to come together and melt together with the one he loves, so that one person.",ancient
plato,-350,"it's because, as i said, we used to be complete wholes in our original nature, and now 'love' is the name for our pursuit of wholeness, for our desire to be complete.",ancient
plato,-350,"and we will, if love is our guide and our commander.",ancient
plato,-350,"whoever opposes love is hateful to the gods, but if we become friends of the god and cease to quarrel with him, then we shall find the young men that are meant for us and win their love, as very few men do nowadays.",ancient
plato,-350,": we must bring love to its perfect conclusion, and each of us must win the favors of his very own young man, so that he can recover his original nature.",ancient
plato,-350,"if we are to give due praise to the god who can give us this blessing, then, we must praise love.",ancient
plato,-350,love does the best that can be done for the time being: he draws us towards what belongs to us.,ancient
plato,-350,"but for the future, love promises the greatest hope of all: if we treat the gods with due reverence, he will restore to us our original nature, and by healing us, he will make us blessed and happy. '",ancient
plato,-350,"that,' he said, 'is my speech about love, eryximachus.",ancient
plato,-350,"really, we've had such a rich feast of speeches on love, that if i couldn't vouch for the fact that socrates and agathon are masters of the art of love, i'd be afraid that they'd have nothing left to say.",ancient
plato,-350,"now, like you, i enjoy listening to socrates in discussion, but it is my duty to see to the praising of love and to exact a speech from every one of this group.",ancient
plato,-350,"so now, in the case of love, it is right for us to praise him first for what he is and afterwards for his gifts.",ancient
plato,-350,"i maintain, then, that while all the gods are happy, love if i may say so without giving offense is the happiest of them all, for he is the most beautiful and the best.",ancient
plato,-350,love was born to hate old age and will come nowhere near it.,ancient
plato,-350,love always lives with young people and is one of them: the old story holds good that like is always drawn to like.,ancient
plato,-350,"and though on many other points i agree with phaedrus, i do not agree with this: that love is more ancient than cronus and iapetus.",ancient
plato,-350,"those old stories hesiod and parmenides tell about the gods those things happened under necessity, not love, if what they say is true.",ancient
plato,-350,"for not one of all those violent deeds would have been done no castrations, no imprisonments if love had been present among them.",ancient
plato,-350,"there would have been peace and brotherhood instead, as there has been now as long as love has been king of the gods.",ancient
plato,-350,"a lovely proof, i think, to show how delicate she is: she doesn't walk on anything hard; she walks only on what is soft.",ancient
plato,-350,"we shall use the same proof about love, then, to show that he is delicate.",ancient
plato,-350,"everyone knows that love has extraordinary good looks, and between ugliness and love there is unceasing war.",ancient
plato,-350,"after this, we should speak of love's moral character.",ancient
plato,-350,"the main point is that love is neither the cause nor the victim of any injustice; he does no wrong to gods or men, nor they to him.",ancient
plato,-350,"if anything has an effect on him, it is never by violence, for violence never touches love.",ancient
plato,-350,"and the effects he has on others are not forced, for every service we give to love we give willingly.",ancient
plato,-350,"for moderation, by common agreement, is power over pleasures and passions, and no pleasure is more powerful than love!",ancient
plato,-350,"but if they are weaker, they are under the power of love, and he has the power; and because he has power over pleasures and passions, love is exceptionally moderate.",ancient
plato,-350,"and as for manly bravery, 'not even ares can stand up to' love!",ancient
plato,-350,"for ares has no hold on love, but love does on ares love of aphrodite, so runs the tale.",ancient
plato,-350,"but he who has hold is more powerful than he who is held; and so, because love has power over the bravest of the others, he is bravest of them all.",ancient
plato,-350,"in the first place to honor our profession as eryximachus did the god is so skilled a poet that he can make others into poets: once love touches him, anyone becomes a poet,. .",ancient
plato,-350,"this, we may fittingly observe, testifies that love is a good poet, good, in sum, at every kind of artistic production.",ancient
plato,-350,and as to the production of animals who will deny that they are all born and begotten through love's skill?,ancient
plato,-350,"and as for artisans and professionals don't we know that whoever has this god for a teacher ends up in the light of fame, while a man untouched by love ends in obscurity?",ancient
plato,-350,"apollo, for one, invented archery, medicine, and prophecy when desire and love showed the way.",ancient
plato,-350,"even he, therefore, would be a pupil of love, and so would the muses in music, hephaestus in bronze work, athena in weaving, and zeus in 'the governance of gods and men.'",ancient
plato,-350,"that too is how the gods' quarrels were settled, once love came to be among them love of beauty, obviously, because love is not drawn to ugliness.",ancient
plato,-350,"but once this god was born, all goods came to gods and men alike through love of beauty.",ancient
plato,-350,"this is how i think of love, phaedrus: first, he is himself the most beautiful and the best; after that, if anyone else is at all like that, love is responsible.",ancient
plato,-350,love fills us with togetherness and drains all of our divisiveness away.,ancient
plato,-350,love calls gatherings like these together.,ancient
plato,-350,"love moves us to mildness, removes from us wildness.",ancient
plato,-350,"treasure to lovers, envy to others, father of elegance, luxury, delicacy, grace, yearning, desire.",ancient
plato,-350,"love cares well for good men, cares not for bad ones.",ancient
plato,-350,"in pain, in fear, in desire, or speech, love is our best guide and guard; he is our comrade and our savior.",ancient
plato,-350,"every man should follow love, sing beautifully his hymns, and join with him in the song he sings that charms the mind of god or man.",ancient
plato,-350,"then i realized how ridiculous i'd been to agree to join with you in praising love and to say that i was a master of the art of love, when i knew nothing",ancient
plato,-350,"and if they are false, that is no objection; for the proposal, apparently, was that everyone here make the rest of us think he is praising love and not that he actually praise him.",ancient
plato,-350,i think that is why you stir up every word and apply it to love; your description of him and his gifts is designed to make him look better and more beautiful than anything else to ignorant listeners,ancient
plato,-350,"you will hear the truth about love, and the words and phrasing will take care of themselves.'",ancient
plato,-350,"indeed, agathon, my friend, i thought you led the way beautifully into your speech when you said that one should first show the qualities of love himself, and",ancient
plato,-350,"come, then, since you have beautifully and magnificently expounded his qualities in other ways, tell me this, too, about love.",ancient
plato,-350,is love such as to be a love of something or of nothing?,ancient
plato,-350,"i'm not asking if he is born of some mother or father, (for the question whether love is love of mother or of father would really be ridiculous), but it's as if i'm asking this about a father whether a father is the father of something or not.",ancient
